userName,content,score,at,appVersion
MOHAMMAD ADZMAN,I like Games PUBG super best games real  PUBG glacier lang,5,2023-11-01 00:23:32,2.8.0
yeshi bida,Very good game N my favourite,5,2023-11-02 12:19:39,2.8.0
FaKe KinG,Awesome Game And I Think His The No1 Game,5,2023-11-02 12:09:29,2.8.0
Reywaaz29,Good online game,5,2023-10-30 02:02:27,2.8.0
Numan Jutt 555,Good,5,2023-11-02 13:11:08,2.8.0
Syed Abdulraafay,I am a player of PUBG  It Very nice Game,5,2023-11-02 13:11:51,2.8.0
QASIM AL BEHR,ok,5,2023-10-30 03:08:52,2.8.0
Rohan Jafferi,Best game in world Im playing 5 years best,5,2023-10-30 01:32:46,2.8.0
Bisha Kancho,Nice shot interested,5,2023-10-30 03:09:29,2.8.0
Tsana Gantuya,Good,5,2023-11-02 13:13:52,2.8.0
Kenn Kenn,M416 skin want it,5,2023-10-30 03:47:32,2.8.0
keith williams,Time outs happen way to often,2,2023-10-29 20:57:02,2.8.0
Umair sb Ansari,Very very amazing this game nice and good,5,2023-10-30 05:58:45,2.8.0
Mahar Sahab,Bad game,1,2023-10-29 20:24:38,2.8.0
Gizli Oyuncu,Super,5,2023-10-30 05:56:09,2.8.0
Adi Wibowoo,My fav game,5,2023-10-30 03:07:57,2.8.0
Hussein Omar,excellent,5,2023-10-31 23:15:39,2.8.0
Sweet_ Child92,The one of many game that i play and it gives me a lot of experience since season 2 until nowbut sadly so hard to get item especially m4 glacier  please resolve the bug problem audio bacground colour sometimes we cant hear voice from our teammate and it cause problem when in game But it is the best game ever ,5,2023-10-30 05:58:01,2.8.0
Dangerous Baadsha,Awesome Game For Age 18,5,2023-10-30 01:32:13,2.8.0
Christian Delpeche,Always my go to game Been playing for years and still has my boredom cured,5,2023-10-30 03:47:05,2.8.0
Gul Muhammad,Happy alot while playing pubg,1,2023-10-30 05:51:14,2.8.0
Ghulam Abbas yt,I play pubg from 2k19 this is owsome,5,2023-10-30 03:08:42,2.8.0
Teach Tea,Y it is costly,1,2023-10-29 20:25:39,2.8.0
Gang “Leo” Lee,Super laggy Always playing at 100 ping This game needs an Oceania server,2,2023-10-30 05:58:31,2.8.0
LaMar Tyler,FuN game to play,5,2023-10-31 22:43:00,2.8.0
ARSH Amanj,Good  geem,5,2023-11-02 13:09:28,2.8.0
Chris s,Great since season 1,5,2023-10-30 02:02:07,2.8.0
RN Jaan,Best game,5,2023-10-30 03:43:37,2.8.0
#DANISH ZAFRAN,It the best game shooter,5,2023-10-30 04:25:16,2.8.0
Abdoulaye the gammer,This game is a version of Fortnite and GTA5 its also like free fire but simular,5,2023-10-29 18:51:21,2.8.0
Omid James,Fantastic,5,2023-11-02 16:14:34,2.8.0
Sanny Mag-usara,best game ive ever plyed,4,2023-10-30 04:15:21,2.8.0
Alam Alam,I like it,5,2023-10-30 01:59:44,2.8.0
Sweet Home,This is one of the best game ever I like this game so much But their is a lag of game in this updatezombie edge,3,2023-10-29 14:44:58,2.8.0
Sumeet Khan,This game iam gaming to 3 years and iam fan for this game iam give this game five star,5,2023-11-02 09:09:19,2.8.0
Htet Waiyan,Ive play this game for like almost 3 years and I never have a single boring for playing this gameI love this game,5,2023-10-30 03:21:42,2.8.0
Ehsan Ali,One of the best game in this planet through out difficult for new players but graphics was absolutely gorgeous And new update of every second month to this is amazing work thanks pubg mobile to give us a lot of internment ,5,2023-10-30 06:10:30,2.8.0
Abdul Raheem,Everything on uc not free here,1,2023-10-30 06:10:51,2.8.0
Maurice Gilbreath, PUBG wouldnt play anything else,5,2023-10-30 03:22:10,2.8.0
Munir Khan,PUBG is a very interesting game,5,2023-11-02 10:57:14,2.8.0
Tishamae Tom,Interesting,5,2023-11-02 12:41:32,2.8.0
Abdul wahab Ghulam,Good,5,2023-10-29 14:56:26,2.8.0
Mateeq yaroo,I enjoy only this game and this game is greatfull,5,2023-11-01 06:11:15,2.8.0
Japhet Paigan,Yes because Ilove battle Royale,5,2023-10-30 06:11:30,2.8.0
kura agha,Best game,5,2023-11-02 11:01:57,2.8.0
Abaid Prince,Give me a glaciar,5,2023-11-02 14:24:54,2.8.0
Tyreke Smith,Every second the game a kick mi out of the match them and mi internet connection a work properly,1,2023-11-01 01:03:00,2.8.0
prince gaming,Good experience with this game love to play,5,2023-10-30 06:11:55,2.8.0
PRINCE OP,Now Give me mythic ,4,2023-10-30 06:12:36,2.8.0
Mahmed Alaa,My real love ,5,2023-11-02 12:42:09,2.8.0
Andrew Farquharson,The best game ever,5,2023-10-30 04:31:33,2.8.0
Nobin Chhetri,God Game ,5,2023-11-02 12:48:59,2.8.0
Vusah Bhebhe,Cool game,5,2023-10-29 14:27:12,2.8.0
Aung Aung,5 stars game,5,2023-10-30 03:28:52,2.8.0
Afeef Chiragally,I love this game,5,2023-10-30 03:26:28,2.8.0
The Gamer,Good game but device mid,4,2023-11-01 01:00:19,2.8.0
Kailash Kumar,Nyc game,5,2023-10-30 04:31:21,2.8.0
An Sablon,Permainan paling bagus,5,2023-10-30 06:09:59,2.8.0
love kham,Got game,5,2023-11-01 00:16:33,2.8.0
Shahzaib Tanoli,Heavy game mera career bn gya,5,2023-10-29 15:41:54,2.8.0
Amir Bhatti,Its good intertainment,4,2023-10-30 03:32:32,2.8.0
Jalil Ahmad,First off all you give me uc and I give you a good Feedback and rating,1,2023-10-30 04:31:59,2.8.0
Микола Мельник,IDK,5,2023-11-02 12:53:58,2.8.0
Abdul Qadeer Khan,Very nice ,5,2023-11-02 16:31:33,2.8.0
Mohsin Korai,Glaicier gun chahye please bro,5,2023-10-30 06:07:54,2.8.0
Dinu 디누 Max,Awesome,5,2023-10-30 03:31:28,2.8.0
samuel monyamane,great,1,2023-10-30 01:43:41,2.8.0
Kayla Stephens,great team building and friendly excersise,5,2023-10-30 03:19:42,2.8.0
Asad Amin,Nice game but I have no uc,1,2023-10-30 03:20:45,2.8.0
Sultan Chaudhary, Burnol           ,5,2023-11-01 06:10:44,2.8.0
Mithu Jutt,Awsm,5,2023-10-30 06:07:55,2.8.0
Asghar Lashari,i love this game,5,2023-10-30 03:29:24,2.8.0
Red Mi,good,5,2023-10-30 06:09:57,2.8.0
Amir Rao,Hank Bitiya pabji,2,2023-10-29 15:27:20,2.8.0
Elvis Emukule,Best online game ever But my request is you guys should let people play according to the their level not one in a higher level with a starter,5,2023-10-30 06:09:09,2.8.0
Jesse Messer,Ive been playing this game for about 5 months its awesome clean graphics and awesome gameplay customization on so many diffrent levels havent found anything that can compare Highley recommend it to anyone You can pay if u want but dont have to and wont effect any gameplay 5 stars all day,5,2023-10-30 03:20:54,2.8.0
MaliCk Umar ßhatti,My love Pubg Mobile Game ,5,2023-10-30 01:44:04,2.8.0
KIYAN Naweywey,Good,5,2023-10-30 01:44:22,2.8.0
Rishi sachdev,Best,5,2023-10-29 15:10:51,2.8.0
asif m,Exclent game,5,2023-11-02 12:50:57,2.8.0
Lawrence Millares,this games or apps are addictive if you have time try to play and experience the thrilling games experience,5,2023-11-01 00:13:04,2.8.0
Hasan kasem,Save Syria,1,2023-11-02 16:32:56,2.8.0
Mati Khan,Very good,5,2023-10-30 06:09:28,2.8.0
Ahmeed Robi,Very good app,5,2023-10-29 14:26:54,2.8.0
Mina Chhetri,Thes game is very goood,2,2023-10-30 06:13:37,2.8.0
siavash loveguitar,The game has a very weak and boring gameplay Player support is also very poor,1,2023-11-02 12:48:41,2.8.0
Writeub,The best,5,2023-10-30 01:50:23,2.8.0
Hafiz Sunny,Excellent ,5,2023-10-30 06:16:59,2.8.0
SYED ALI,OG game,5,2023-11-01 01:41:58,2.8.0
Fz Sharp,Word is bust game,5,2023-11-02 14:33:48,2.8.0
Naza Reno,Good game,3,2023-11-02 11:02:09,2.8.0
Utkarsha Paudel,F off,5,2023-10-30 03:23:55,2.8.0
Cristopher Llesis Navarro,Perfect Pls Add realistic system to heal friendlies besides you to cover instantly upon dragging Fetch out to cover Add snapping to wall upon picking Lean and peak to shoot Add military uniforms,5,2023-10-30 03:24:38,2.8.0
Fish Dog,Download pubg because the game is the best,5,2023-10-30 01:48:18,2.8.0
Param Gill,At,5,2023-10-30 01:49:27,2.8.0
Kyaw Chay,Good,5,2023-10-30 01:52:09,2.8.0
Mujahid Shah,Pub g zindabad bs or ku6 nie,5,2023-10-29 13:53:24,2.8.0
43 mujremyt,NYC game,5,2023-10-29 13:49:03,2.8.0
MUHAMMAD ARSALAN ADIL,Nice and help full in our life ,5,2023-10-30 06:17:57,2.8.0
bagdom issam,is good,5,2023-11-02 14:28:26,2.8.0
Alexander Almasin,i enjoy once i play,5,2023-10-29 13:19:52,2.8.0
Razor,Best game of all time,5,2023-10-29 13:13:24,2.8.0
Daoud Khan,It has alot of fps drop and damage delay,1,2023-10-29 13:06:25,2.8.0
AHMED M Esmail,Very Very good game,5,2023-11-02 12:46:11,2.8.0
Mr Shahzaib,Nice game I like this game,5,2023-10-29 12:38:01,2.8.0
Trab Raza,it is a very nice game but some toxic people use hack that is worse,5,2023-10-30 06:19:42,2.8.0
Muqadas Bhatti,Great game,5,2023-10-30 06:19:48,2.8.0
matt ognayon,Nothing i can say its perfect keep it up ,5,2023-11-02 14:31:50,2.8.0
Joshua Lake,Best game Ive played on my phone and stands the test of time,5,2023-10-30 01:51:26,2.8.0
Christopher Cortez,Awesome,5,2023-10-30 01:51:33,2.8.0
Jesseca Benosa,God game bro,5,2023-11-01 01:40:55,2.8.0
Hossam Mohamed,    ,4,2023-10-30 01:47:24,2.8.0
Frank Gutierrez,Love the gamewill recommend to all,5,2023-10-30 01:47:14,2.8.0
Khazir khan,I am like this game,5,2023-11-02 14:29:23,2.8.0
Salih Attazada,I love it,5,2023-11-02 16:33:21,2.8.0
Shobha Kumari Rai,simply awesome,5,2023-10-30 01:54:15,2.8.0
nobel anteneh,I like the game,5,2023-10-30 01:45:42,2.8.0
FREE US GAMES,Best battle royale game Ive played,5,2023-11-02 12:44:14,2.8.0
muneeb nawaz,I am playing well But M416 glacier not I want,5,2023-10-30 06:14:58,2.8.0
THE BEST GAMER,Great game,5,2023-10-29 14:17:09,2.8.0
Jessun Tomol,Ive been playing this game in years from now and I still like the game and I hope all of the hackers in this game will be banned,5,2023-10-30 03:25:58,2.8.0
Ch Huzaifa,This is very good game,5,2023-10-30 01:47:00,2.8.0
neil caro,Nice game,5,2023-10-30 06:16:09,2.8.0
Dwyane Laquiña,This was my childhood game When it first realesed march 23 2017 I was really excited made a ton of friends and then there was the Godzilla vs Kong event This event changed my heart me and my brother played it for hours Me and my uncle we Were the best duos In the Godzilla vs Kong event when it got removed I cried the whole day then the day finally came I had to quit on 2020 because my account got hacked spent nothing on that account but had a lot of memories 3 years Love The communinity,5,2023-10-30 01:53:34,2.8.0
Salma Mohammed,         ,1,2023-11-02 12:48:30,2.8.0
nasarullah jattaq,Ples update te game mods m whating,1,2023-10-29 14:17:07,2.8.0
Sohail Malik,This is very enjoyable game here you can show your skills,5,2023-10-30 01:47:07,2.8.0
Aadi Khan,My favourite game ever very realistic ,5,2023-10-31 22:34:57,2.8.0
Shawon Sheikh,best game i ever play ,5,2023-10-29 14:01:59,2.8.0
Subhan Ali,I love pubg,1,2023-10-30 01:53:09,2.8.0
Trevor Emmanuel,Perfect ,5,2023-10-29 13:56:50,2.8.0
Muhammad Hamaad Asghar,Good game but i they should improve more,5,2023-10-30 06:16:32,2.8.0
Jay Managbanag,I feel im the battle filed,5,2023-10-30 03:25:27,2.8.0
Eid Muhammad Jamali,Not work slow network problem,5,2023-10-29 13:54:32,2.8.0
Leroy Don,I like the game but there are many glitches if u can fix it it will mean a lot to me,5,2023-10-30 01:47:11,2.8.0
Hamza Maqbool,Good game but there are some problems,4,2023-10-30 03:18:45,2.8.0
Levi,This game is the best,5,2023-10-29 15:57:46,2.8.0
Jake Howard,If the game would stop logging me out right before I parachute and in the middle of driving cars id rate higher,2,2023-10-30 06:02:59,2.8.0
Suleman Ahmed,Very Good Game I Am Playing For 3 Years But Now The Events Are Not Good,5,2023-10-30 03:13:20,2.8.0
Mitou Kaudeer,Too many lag,3,2023-10-30 06:04:36,2.8.0
Foday Sesay,Awesome,5,2023-10-30 01:59:15,2.8.0
Awan Awan,Very good game but recently my game stops working It hangs and did not start I request you to solve my problem as soon as possible I also uninstalled and then reinstalled the game but it did not work Otherwise it is a very good game with high graphics So I give you 3 stars,3,2023-10-29 17:30:03,2.8.0
habib fahads,nice game,5,2023-10-30 03:12:22,2.8.0
Mohammed Khattab,Ilove Pubg soo,5,2023-10-30 03:37:19,2.8.0
Lezan Shaeqe,100000us,5,2023-10-29 17:27:07,2.8.0
Xeikh Mubeen,my device is low please support low device,1,2023-10-30 03:37:13,2.8.0
chibery Tevin,Best,5,2023-10-30 03:47:57,2.8.0
Anil Kuldip,We wants some new default characters please ,5,2023-10-31 23:16:49,2.8.0
MD SUNNY,Love Pubg Mobile,5,2023-11-01 00:01:46,2.8.0
Kyaw Gyi,very good,5,2023-10-30 03:13:00,2.8.0
John Espinosa,Nice game play,5,2023-10-30 03:16:25,2.8.0
ĐM Řûšşéłł Fãķîř,I love pubg,5,2023-10-29 17:31:36,2.8.0
Mian Talha,Pubg game so amazing,5,2023-11-01 01:39:52,2.8.0
Jabari Barker,Best game ever,5,2023-10-31 22:39:59,2.8.0
abid ali,Pubg is my life no pubg no life,5,2023-10-29 17:20:43,2.8.0
Sameer Suliman,Such a addictive game ,5,2023-11-02 16:19:50,2.8.0
James Fernandez,i really hate this pubg now it deduct a lot of rank points and you get when you win its only like 30 but when its deduction its like 33 the old pubg is better,1,2023-10-29 17:08:42,2.8.0
Rahul Mali,Emotion,5,2023-10-30 06:05:50,2.8.0
Luvuyo Mbotho,It awesome to play the game I love it,5,2023-11-02 14:37:09,2.8.0
Mat Kenneth Garcia,too laggy even i had good device still rendering issue,1,2023-11-02 16:19:57,2.8.0
Malik Sufyan,Old is best pubg,5,2023-10-29 16:56:35,2.8.0
hagardera Poi,Samsung A13 gr scope,5,2023-10-30 03:36:01,2.8.0
Benjamin Benjamin,nivccv,4,2023-11-02 10:54:58,2.8.0Kaylah Bruk,Awesome game I love t
official starone tz,Nice nice nice game,1,2023-10-30 04:35:10,2.8.0
Zurinah Kalong,Good game,5,2023-11-02 12:31:01,2.8.0
Wasi Baloch,i love PUBG mobile its a super duper excellent game,5,2023-10-30 01:40:15,2.8.0
Mike lorence Ogos,Best game ever,5,2023-11-01 00:01:18,2.8.0
Viresh Baurhoo,I is a very good game and joyful,5,2023-10-30 06:04:12,2.8.0
Roman,This game sucks man it should be more realistic,1,2023-10-29 18:06:30,2.8.0
RAYYAN ALI,Ik Kr,5,2023-11-01 05:49:03,2.8.0
his game very much the graphics really cool depending on the device use Its like your playing the real facts here like there are real players around the globe that we are playing At first I use to play a lot of other games untill PUBG introduce when I decide to gave up others and prefer this one,5,2023-10-30 04:36:23,2.8.0
ManoZ Singh,Plz send me update,5,2023-11-01 05:53:50,2.8.0
Md Rifatul Islam,         ,5,2023-11-02 09:18:07,2.8.0
Jonathan Sio,Cool game nice graphics and everything is on point ,5,2023-11-01 00:18:39,2.8.0
Samson Kimani,Lov the game but plz adjust the speed of the cars As I wind up my experience  Im addicted to the game  So nice ,4,2023-11-02 12:27:29,2.8.0
Anwar Othman,Epic game,4,2023-11-02 16:16:25,2.8.0
Lagat Amanda,Lit,5,2023-10-29 17:42:49,2.8.0
Toot Culver,Just a cool game to play,5,2023-10-30 03:38:34,2.8.0
Mohammad Yawari,Nice ,5,2023-11-02 16:16:46,2.8.0
Samiulhaq Haqjo,Awesome,5,2023-10-29 17:47:33,2.8.0
M Shah,Love it,5,2023-11-02 14:37:56,2.8.0
Shahrizal,Aku main PUBG dari 2018 sampai skrg takde masalah pun,5,2023-10-30 03:38:26,2.8.0
Mr. NOoB Op,I LOVE PUBG,5,2023-10-30 03:38:00,2.8.0
Zaw Myo Htun,Good play,5,2023-10-30 03:10:59,2.8.0
ALI Abdullah,Bored game,1,2023-10-29 17:42:53,2.8.0
Saw YairHtet,So goog,5,2023-10-30 04:35:58,2.8.0
Gian Valero,Ganda sobra kaso nga lang pag nagiinit phone ko syado mag render saka hang pero maganda parin sya kaya rate nyu na guyz,5,2023-11-02 11:07:09,2.8.0
Jan Manalo,The game is cool and so much interesting for its like a real shooting game and i love to play it I tried other games but this makes me fell in love,5,2023-10-30 03:12:14,2.8.0
SaGoR Ahamed,I Love PUBG,5,2023-10-29 16:56:23,2.8.0
ye kyaw,to be a hero on the ground i got this game to be stand alone by myself,5,2023-11-02 09:15:15,2.8.0
Muhammad Rizwan,YOU GIVING UPDATES AND LAG INCREASE DAY BY DAY 80 PLAYERS HAVE NORMAL DEVICES AND YOU MAKING GAME SO HEAVY SO PLEASE TRY DECRESE THE GAME LAG THIS ISSUE COME ON 20 MS LAG MAKE THE GAME USELESS MAKE THIS GAME FOR NORMAL PHONES,1,2023-10-29 16:39:55,2.8.0
Azeem Hashmi,With most respect I need Neelam Muneer pashto voice pack Please tell me how i shall get it,5,2023-10-30 06:07:44,2.8.0
Asad Hussain,Wasam,5,2023-10-29 16:33:10,2.8.0
Fiaz Ahmad,Nice game ,5,2023-10-29 16:32:32,2.8.0
Farooqui Nazma,Good,5,2023-10-30 03:32:53,2.8.0
Biruk,Its a good game but there is no luck to get m416 glacier,5,2023-11-02 16:27:06,2.8.0
Munachi King,Best addictive game,5,2023-10-30 04:32:45,2.8.0
Naveed Ahmed,Indeed friend ,5,2023-10-30 04:32:44,2.8.0
Randszkie Cayabyab,Ilove these game but i dont now how to play 1vs1,4,2023-10-29 16:21:21,2.8.0
abdo atia,The Best,5,2023-11-02 12:41:28,2.8.0
Ukasha Uka,Fantastic gems ,5,2023-11-02 16:28:44,2.8.0
Hashimi Mustafa,Good not,1,2023-10-29 16:16:41,2.8.0
